name,meaning,origin,gender,nationality,language,script,era,notes
Alice,Noble type,Germanic,girl,fr,fr,Latin,classic,Lewis Carroll classic
Romy,Dew of the sea,Latin,girl,fr,fr,Latin,modern,Romy Schneider (actress)
Anna,Grace,Hebrew,girl,fr,fr,Latin,classic,Palindrome
Lina,Tender,Arabic,girl,fr,fr,Latin,modern,Short form suffix
Léna,Bright one,Greek,girl,fr,fr,Latin,modern,Form of Helena
Mia,Mine / Bitter,Latin,girl,fr,fr,Latin,modern,Global popularity
Lou,Renowned warrior,Germanic,girl,fr,fr,Latin,modern,Short unisex
Julia,Youthful,Latin,girl,fr,fr,Latin,classic,Roman roots
Chloé,Blooming,Greek,girl,fr,fr,Latin,modern,Nature goddess
Alma,Soul / Nourishing,Latin,girl,fr,fr,Latin,modern,Vintage chic
Agathe,Good,Greek,girl,fr,fr,Latin,classic,Saint Agatha
Iris,Rainbow,Greek,girl,fr,fr,Latin,modern,Flower and goddess
Inès,Pure,Greek,girl,fr,fr,Latin,classic,Spanish form of Agnes
Nina,Little girl,Spanish,girl,fr,fr,Latin,modern,International short form
Juliette,Youthful,Latin,girl,fr,fr,Latin,classic,Romeo and Juliet
Léa,Weary / Lioness,Hebrew,girl,fr,fr,Latin,modern,Biblical Leah
Victoire,Victory,Latin,girl,fr,fr,Latin,classic,Royal connotation
Charlie,Free man,Germanic,girl,fr,fr,Latin,modern,Unisex trend
Mila,Gracious,Slavic,girl,fr,fr,Latin,modern,Pan-European hit
Eva,Life,Hebrew,girl,fr,fr,Latin,classic,Biblical Eve
Jeanne,God is gracious,Hebrew,girl,fr,fr,Latin,classic,Jeanne d'Arc (Joan of Arc)
Luna,Moon,Latin,girl,fr,fr,Latin,modern,Nature celestial
Camille,Young ceremonial attendant,Latin,girl,fr,fr,Latin,classic,Unisex history
Romane,Roman,Latin,girl,fr,fr,Latin,modern,Feminine of Roman
Sofia,Wisdom,Greek,girl,fr,fr,Latin,modern,International spelling
Louna,Moon,Latin,girl,fr,fr,Latin,modern,Phonetic spelling of Luna
Margaux,Pearl,Greek,girl,fr,fr,Latin,classic,Wine region spelling
Olivia,Olive tree,Latin,girl,fr,fr,Latin,modern,International favorite
Elena,Bright one,Greek,girl,fr,fr,Latin,modern,Variant of Helen
Sarah,Princess,Hebrew,girl,fr,fr,Latin,classic,Biblical matriarch
Charlotte,Free man,French,girl,fr,fr,Latin,classic,Classic elegance
Adèle,Noble,Germanic,girl,fr,fr,Latin,classic,Adèle (Singer)
Manon,Bitter,Hebrew,girl,fr,fr,Latin,classic,Manon des Sources
Emy,Universal,Germanic,girl,fr,fr,Latin,modern,Variant of Amy/Emma
Léonie,Lioness,Latin,girl,fr,fr,Latin,classic,Feminine of Leon
Zoé,Life,Greek,girl,fr,fr,Latin,modern,Saint Zoe
Nour,Light,Arabic,girl,fr,fr,Latin,modern,Radiant meaning
Lyana,God has answered,Hebrew,girl,fr,fr,Latin,modern,Modern construction
Céleste,Heavenly,Latin,girl,fr,fr,Latin,classic,Celestial name
Apolline,Of Apollo,Greek,girl,fr,fr,Latin,classic,Sun god connection
Lise,God is my oath,Hebrew,girl,fr,fr,Latin,classic,Short for Elisabeth
Zélie,Solemn,Latin,girl,fr,fr,Latin,classic,Saint Zélie Martin
Gabrielle,God is my strength,Hebrew,girl,fr,fr,Latin,classic,Coco Chanel's real name,
Noah,Rest and comfort,Hebrew,boy,de,de,Latin,modern,Top rank in Germany
Matteo,Gift of God,Hebrew,boy,de,de,Latin,modern,Italian influence strong
Elias,Lord is my God,Hebrew,boy,de,de,Latin,classic,Biblical prophet
Finn,Fair / White,Irish,boy,de,de,Latin,modern,Nordic trend popular
Leon,Lion,Greek,boy,de,de,Latin,classic,Strong traditional name
Theo,Gift of God,Greek,boy,de,de,Latin,modern,Short for Theodor
Paul,Small / Humble,Latin,boy,de,de,Latin,classic,Evergreen classic
Luca,Man from Lucania,Latin,boy,de,de,Latin,modern,Italian import
Emil,Rival,Latin,boy,de,de,Latin,classic,Astrid Lindgren character
Louis,Renowned warrior,Germanic,boy,de,de,Latin,modern,French spelling popular
Henry,Home ruler,Germanic,boy,de,de,Latin,classic,International trend
Felix,Lucky / Successful,Latin,boy,de,de,Latin,classic,Latin vocabulary name
Jakob,Supplanter,Hebrew,boy,de,de,Latin,classic,German form of Jacob
Ben,Son of the right hand,Hebrew,boy,de,de,Latin,modern,Short for Benjamin
Jonas,Dove,Hebrew,boy,de,de,Latin,classic,Biblical prophet
David,Beloved,Hebrew,boy,de,de,Latin,classic,Biblical king
Maximilian,Greatest,Latin,boy,de,de,Latin,classic,Very traditional Bavarian
Julian,Youthful,Latin,boy,de,de,Latin,classic,Roman roots
Liam,Strong-willed warrior,Irish,boy,de,de,Latin,modern,Short form of William
Oskar,God spear,Gaelic,boy,de,de,Latin,classic,Vintage revival
Anton,Praiseworthy,Latin,boy,de,de,Latin,classic,Short for Antonius
Alexander,Defender of men,Greek,boy,de,de,Latin,classic,Historical greatness
Samuel,Told by God,Hebrew,boy,de,de,Latin,classic,Biblical judge
Lukas,Man from Lucania,Latin,boy,de,de,Latin,classic,German spelling of Lucas
Milan,Gracious / Dear,Slavic,boy,de,de,Latin,modern,City and Slavic root
Leo,Lion,Latin,boy,de,de,Latin,modern,Short form
Hannes,God is gracious,Hebrew,boy,de,de,Latin,classic,Short for Johannes
Moritz,Dark-skinned / Moorish,Latin,boy,de,de,Latin,classic,Max & Moritz stories
Jonathan,Gift of God,Hebrew,boy,de,de,Latin,classic,Biblical friend
Niklas,Victory of the people,Greek,boy,de,de,Latin,classic,German form of Nicholas
Mats,Gift of God,Hebrew,boy,de,de,Latin,modern,Scandinavian form of Matthew
Carl,Free man,Germanic,boy,de,de,Latin,classic,Royal traditional
Arthur,Bear man,Celtic,boy,de,de,Latin,classic,Schopenhauer association
Gabriel,God is my strength,Hebrew,boy,de,de,Latin,classic,Archangel name
Jona,Dove,Hebrew,boy,de,de,Latin,modern,Unisex tendency
Fabian,Bean grower,Latin,boy,de,de,Latin,classic,Roman clan name
Philipp,Lover of horses,Greek,boy,de,de,Latin,classic,Apostle name
Vincent,Conqueror,Latin,boy,de,de,Latin,classic,Artist Van Gogh
Lenny,Brave lion,Germanic,boy,de,de,Latin,modern,Short for Leonard
Raphael,God has healed,Hebrew,boy,de,de,Latin,classic,Archangel name
Adrian,Man from Adria,Latin,boy,de,de,Latin,classic,Sea connection
Marlon,Little hawk,French,boy,de,de,Latin,modern,Brando association
Aaron,Mountain of strength,Hebrew,boy,de,de,Latin,classic,Biblical priest
Simon,He has heard,Hebrew,boy,de,de,Latin,classic,Biblical apostle
Jannik,God is gracious,Hebrew,boy,de,de,Latin,modern,Diminutive of Jan
Erik,Eternal ruler,Norse,boy,de,de,Latin,classic,Nordic king name
Christopher,Christ-bearer,Greek,boy,de,de,Latin,classic,Patron saint of travelers
Benedikt,Blessed,Latin,boy,de,de,Latin,classic,Pope name
Johannes,God is gracious,Hebrew,boy,de,de,Latin,classic,Traditional German
Tim,Honoring God,Greek,boy,de,de,Latin,modern,Short for Timothy
Emilia,Rival / Eager,Latin,girl,de,de,Latin,classic,Literary history
Hannah,Grace / Favor,Hebrew,girl,de,de,Latin,classic,Palindrome name
Sophia,Wisdom,Greek,girl,de,de,Latin,classic,Intellectual connotation
Emma,Whole / Universal,Germanic,girl,de,de,Latin,modern,Top European name
Mia,Mine / Bitter,Latin,girl,de,de,Latin,modern,Global popularity
Mila,Gracious / Dear,Slavic,girl,de,de,Latin,modern,Pan-European hit
Lina,Tender / Delicate,Arabic,girl,de,de,Latin,modern,Short form suffix
Ella,Fairy maiden,Germanic,girl,de,de,Latin,modern,Short and sweet
Klara,Bright / Clear,Latin,girl,de,de,Latin,classic,German spelling of Clara
Lea,Weary / Lioness,Hebrew,girl,de,de,Latin,classic,Biblical matriarch
Marie,Bitter / Beloved,Hebrew,girl,de,de,Latin,classic,Middle name favorite
Frieda,Peace / Joy,Germanic,girl,de,de,Latin,classic,Old German revival
Leni,Bright one,Greek,girl,de,de,Latin,modern,Short for Helene
Mathilda,Battle mighty,Germanic,girl,de,de,Latin,classic,Strong vintage name
Ida,Industrious,Germanic,girl,de,de,Latin,classic,Short vintage name
Lia,Weary / Depend,Hebrew,girl,de,de,Latin,modern,Short form
Johanna,God is gracious,Hebrew,girl,de,de,Latin,classic,Traditional form
Emily,Rival,Latin,girl,de,de,Latin,modern,English influence
Anna,Grace,Hebrew,girl,de,de,Latin,classic,Timeless classic
Leonie,Lioness,Latin,girl,de,de,Latin,modern,Feminine of Leon
Amelie,Work,Germanic,girl,de,de,Latin,modern,French influence
Charlotte,Free man,French,girl,de,de,Latin,classic,Goethe's Lotte
Luisa,Renowned warrior,Germanic,girl,de,de,Latin,classic,Feminine of Ludwig
Clara,Bright / Clear,Latin,girl,de,de,Latin,classic,Schumann association
Nele,Horn,Latin,girl,de,de,Latin,modern,Short for Cornelia
Lara,Citadel,Greek,girl,de,de,Latin,modern,Dr. Zhivago / Croft
Sophie,Wisdom,Greek,girl,de,de,Latin,classic,French form
Marlene,Bitter / Light,Hebrew,girl,de,de,Latin,classic,Dietrich association
Maja,Mother / Great,Greek,girl,de,de,Latin,modern,Bee Maja character
Melina,Honey,Greek,girl,de,de,Latin,modern,Sweet meaning
Frida,Peace,Germanic,girl,de,de,Latin,modern,Kahlo association
Elisa,God is my oath,Hebrew,girl,de,de,Latin,classic,Short for Elisabeth
Greta,Pearl,Greek,girl,de,de,Latin,classic,Short for Margareta
Sarah,Princess,Hebrew,girl,de,de,Latin,classic,Biblical classic
Pauline,Small,Latin,girl,de,de,Latin,classic,Feminine of Paul
Mira,Wonderful / Peace,Slavic,girl,de,de,Latin,modern,Multicultural
Isabelle,God is my oath,Hebrew,girl,de,de,Latin,classic,French form
Helena,Bright one,Greek,girl,de,de,Latin,classic,Mythological beauty
Laura,Laurel,Latin,girl,de,de,Latin,classic,Petrarch's muse
Pia,Pious,Latin,girl,de,de,Latin,classic,Religious virtue
Ronja,Robber's daughter,Russian,girl,de,de,Latin,modern,Astrid Lindgren book
Alva,Elf,Norse,girl,de,de,Latin,modern,Mystical meaning
Victoria,Victory,Latin,girl,de,de,Latin,classic,Royal name
Katharina,Pure,Greek,girl,de,de,Latin,classic,Luther's wife
Julia,Youthful,Latin,girl,de,de,Latin,classic,Roman roots
Lisa,God is my oath,Hebrew,girl,de,de,Latin,classic,Short for Elisabeth
Annika,Grace,Hebrew,girl,de,de,Latin,modern,Swedish dim. of Anna
Merle,Blackbird,French,girl,de,de,Latin,modern,Nature inspired
Jule,Youthful,Latin,girl,de,de,Latin,modern,German dim. of Julia
Lena,Bright one,Greek,girl,de,de,Latin,modern,Eurovision winner link,
Leonardo,Brave lion,Germanic,boy,it,it,Latin,classic,Da Vinci association #1
Francesco,Frenchman / Free,Latin,boy,it,it,Latin,classic,St. Francis of Assisi
Alessandro,Defender of men,Greek,boy,it,it,Latin,classic,Alexander the Great
Lorenzo,From Laurentum,Latin,boy,it,it,Latin,classic,Medici family ruler
Mattia,Gift of God,Hebrew,boy,it,it,Latin,modern,Biblical Matthias
Tommaso,Twin,Aramaic,boy,it,it,Latin,classic,St. Thomas Aquinas
Gabriele,God is my strength,Hebrew,boy,it,it,Latin,classic,Archangel Gabriel
Andrea,Manly / Warrior,Greek,boy,it,it,Latin,classic,Male name in Italy
Riccardo,Powerful leader,Germanic,boy,it,it,Latin,classic,Richard the Lionheart
Edoardo,Rich guard,English,boy,it,it,Latin,classic,Royal history
Matteo,Gift of God,Hebrew,boy,it,it,Latin,modern,Apostle Matthew
Giuseppe,He will add,Hebrew,boy,it,it,Latin,classic,Father of Jesus / Verdi
Niccolò,Victory of the people,Greek,boy,it,it,Latin,classic,Machiavelli
Antonio,Praiseworthy,Latin,boy,it,it,Latin,classic,St. Anthony of Padua
Federico,Peaceful ruler,Germanic,boy,it,it,Latin,classic,Fellini (Director)
Pietro,Rock / Stone,Greek,boy,it,it,Latin,classic,St. Peter
Samuele,Told by God,Hebrew,boy,it,it,Latin,modern,Biblical prophet
Giovanni,God is gracious,Hebrew,boy,it,it,Latin,classic,Most traditional name
Filippo,Lover of horses,Greek,boy,it,it,Latin,classic,King of Macedon
Diego,Supplanter / Teaching,Spanish,boy,it,it,Latin,modern,Maradona influence
Michele,Who is like God?,Hebrew,boy,it,it,Latin,classic,Archangel Michael
Davide,Beloved,Hebrew,boy,it,it,Latin,classic,Michelangelo's David
Giulio,Youthful,Latin,boy,it,it,Latin,classic,Julius Caesar
Christian,Follower of Christ,Greek,boy,it,it,Latin,modern,International spelling
Giacomo,Supplanter,Hebrew,boy,it,it,Latin,classic,Casanova / Puccini
Enea,Praise,Greek,boy,it,it,Latin,classic,Aeneid hero (Aeneas)
Salvatore,Savior,Latin,boy,it,it,Latin,classic,Religious name (South)
Vincenzo,Conqueror,Latin,boy,it,it,Latin,classic,Bellini (Composer)
Elia,Lord is my God,Hebrew,boy,it,it,Latin,modern,Biblical Elijah
Marco,Warrior of Mars,Latin,boy,it,it,Latin,classic,Marco Polo
Emanuele,God is with us,Hebrew,boy,it,it,Latin,classic,Biblical Immanuel
Alessio,Defender,Greek,boy,it,it,Latin,modern,Short for Alessandro
Gioele,Jehovah is God,Hebrew,boy,it,it,Latin,modern,Biblical Joel
Jacopo,Supplanter,Hebrew,boy,it,it,Latin,classic,Tuscan form of Jacob
Daniele,God is my judge,Hebrew,boy,it,it,Latin,classic,Biblical prophet
Simone,He has heard,Hebrew,boy,it,it,Latin,classic,Male name in Italy
Luca,Man from Lucania,Latin,boy,it,it,Latin,classic,Gospel writer
Luigi,Renowned warrior,Germanic,boy,it,it,Latin,classic,Pirandello / Mario Bros
Manuel,God is with us,Hebrew,boy,it,it,Latin,modern,Spanish influence
Angelo,Messenger / Angel,Greek,boy,it,it,Latin,classic,Religious name
Giorgio,Farmer,Greek,boy,it,it,Latin,classic,Armani / Vasari
Domenico,Of the Lord,Latin,boy,it,it,Latin,classic,Born on Sunday
Raffaele,God has healed,Hebrew,boy,it,it,Latin,classic,Renaissance art
Paolo,Small,Latin,boy,it,it,Latin,classic,Paolo Veronese
Stefano,Crown,Greek,boy,it,it,Latin,classic,First martyr
Nicola,Victory of the people,Greek,boy,it,it,Latin,classic,Male name in Italy
Roberto,Bright fame,Germanic,boy,it,it,Latin,classic,Benigni (Actor)
Fabio,Bean grower,Latin,boy,it,it,Latin,classic,Roman clan
Claudio,Lame / Enclosure,Latin,boy,it,it,Latin,classic,Emperor Claudius
Massimo,Greatest,Latin,boy,it,it,Latin,classic,Gladiator inspiration
Sofia,Wisdom,Greek,girl,it,it,Latin,classic,Top name in Italy
Aurora,Dawn,Latin,girl,it,it,Latin,classic,Roman goddess
Giulia,Youthful,Latin,girl,it,it,Latin,classic,Ancient Roman Gens
Ginevra,White shadow / Wave,Welsh,girl,it,it,Latin,classic,Guinevere Italian form
Beatrice,She who brings happiness,Latin,girl,it,it,Latin,classic,Dante's muse
Alice,Noble type,Germanic,girl,it,it,Latin,classic,Pronounced A-lee-che
Vittoria,Victory,Latin,girl,it,it,Latin,classic,Royal name
Emma,Whole / Universal,Germanic,girl,it,it,Latin,modern,Top European name
Ludovica,Renowned warrior,Germanic,girl,it,it,Latin,classic,Feminine of Ludwig
Matilde,Battle mighty,Germanic,girl,it,it,Latin,classic,Countess of Canossa
Giorgia,Farmer,Greek,girl,it,it,Latin,modern,Feminine of Giorgio
Greta,Pearl,Greek,girl,it,it,Latin,modern,Short for Margherita
Camilla,Young ceremonial attendant,Latin,girl,it,it,Latin,classic,Roman mythology
Martina,Warrior of Mars,Latin,girl,it,it,Latin,modern,Feminine of Martin
Chiara,Clear / Bright,Latin,girl,it,it,Latin,classic,St. Clare of Assisi
Anna,Grace,Hebrew,girl,it,it,Latin,classic,Mother of Mary
Bianca,White / Pure,Germanic,girl,it,it,Latin,classic,Othello character
Nicole,Victory of the people,Greek,girl,it,it,Latin,modern,French influence
Sara,Princess,Hebrew,girl,it,it,Latin,classic,Biblical matriarch
Gaia,Earth,Greek,girl,it,it,Latin,modern,Earth goddess
Francesca,Frenchman / Free,Latin,girl,it,it,Latin,classic,Francesca da Rimini
Adele,Noble,Germanic,girl,it,it,Latin,classic,Vintage revival
Noemi,Pleasantness,Hebrew,girl,it,it,Latin,modern,Biblical Naomi
Mia,Mine / Bitter,Latin,girl,it,it,Latin,modern,Global popularity
Viola,Violet flower,Latin,girl,it,it,Latin,modern,Twelfth Night character
Elisa,God is my oath,Hebrew,girl,it,it,Latin,classic,Elisa Bonaparte
Rebecca,To tie / Bind,Hebrew,girl,it,it,Latin,modern,Biblical Isaac's wife
Alessandra,Defender of men,Greek,girl,it,it,Latin,classic,Feminine of Alessandro
Giada,Jade stone,Spanish,girl,it,it,Latin,modern,Gemstone name
Elena,Bright one,Greek,girl,it,it,Latin,classic,Queen Elena
Azzurra,Azure / Blue sky,Italian,girl,it,it,Latin,modern,Color name
Melissa,Honey bee,Greek,girl,it,it,Latin,modern,Nymph name
Maria,Bitter / Beloved,Hebrew,girl,it,it,Latin,classic,Most traditional catholic
Margherita,Pearl / Daisy,Greek,girl,it,it,Latin,classic,Queen / Pizza namesake
Rachele,Ewe,Hebrew,girl,it,it,Latin,classic,Biblical Rachel
Eleonora,Light,Greek,girl,it,it,Latin,classic,Eleonora Duse
Arianna,Most holy,Greek,girl,it,it,Latin,classic,Minotaur myth
Carlotta,Free man,French,girl,it,it,Latin,classic,Italian Charlotte
Agata,Good,Greek,girl,it,it,Latin,classic,Saint Agatha (Sicily)
Caterina,Pure,Greek,girl,it,it,Latin,classic,Catherine de Medici
Marta,Lady / Mistress,Aramaic,girl,it,it,Latin,classic,Biblical figure
Diana,Divine,Latin,girl,it,it,Latin,classic,Goddess of hunt
Angelica,Angelic,Greek,girl,it,it,Latin,classic,Orlando Furioso poem
Serena,Serene / Calm,Latin,girl,it,it,Latin,classic,Roman virtue
Vanessa,Butterfly,Literary,girl,it,it,Latin,modern,Swift invented it
Miriam,Bitter / Beloved,Hebrew,girl,it,it,Latin,modern,Original form of Mary
Lucia,Light,Latin,girl,it,it,Latin,classic,St. Lucia
Benedetta,Blessed,Latin,girl,it,it,Latin,modern,Religious meaning
Irene,Peace,Greek,girl,it,it,Latin,classic,Goddess of peace
Valentina,Strong / Healthy,Latin,girl,it,it,Latin,modern,Feminine of Valentine,
Martín,Warrior of Mars,Latin,boy,es,es,Latin,classic,Top ranked boy name
Hugo,Mind / Intellect,Germanic,boy,es,es,Latin,modern,Short and strong
Mateo,Gift of God,Hebrew,boy,es,es,Latin,modern,Currently trending
Lucas,Man from Lucania,Latin,boy,es,es,Latin,modern,International favorite
Leo,Lion,Latin,boy,es,es,Latin,modern,Short form popularity
Daniel,God is my judge,Hebrew,boy,es,es,Latin,classic,Consistent favorite
Alejandro,Defender of men,Greek,boy,es,es,Latin,classic,Lady Gaga song Ale-Alejandro
Manuel,God is with us,Hebrew,boy,es,es,Latin,classic,Traditional 'Manolo'
Pablo,Small,Latin,boy,es,es,Latin,classic,Picasso / Neruda
Álvaro,Elf warrior,Germanic,boy,es,es,Latin,classic,Noble Spanish name
Adrián,Man from Adria,Latin,boy,es,es,Latin,modern,Sea connection
Enzo,Home ruler,Germanic,boy,es,es,Latin,modern,Italian import trend
Mario,Male / of Mars,Latin,boy,es,es,Latin,classic,Nintendo association
Diego,Supplanter / Teaching,Spanish,boy,es,es,Latin,classic,Velázquez / Rivera
David,Beloved,Hebrew,boy,es,es,Latin,classic,Biblical King
Oliver,Olive tree,Latin,boy,es,es,Latin,modern,International trend
Marcos,Warrior of Mars,Latin,boy,es,es,Latin,classic,Gospel writer
Thiago,Supplanter,Hebrew,boy,es,es,Latin,modern,Variant of Santiago
Luca,Man from Lucania,Latin,boy,es,es,Latin,modern,Italian spelling
Izan,Strong / Enduring,Hebrew,boy,es,es,Latin,modern,Spanish form of Ethan
Javier,New house,Basque,boy,es,es,Latin,classic,St. Francis Xavier
Álex,Defender of men,Greek,boy,es,es,Latin,modern,Short for Alejandro
Bruno,Brown / Bear,Germanic,boy,es,es,Latin,modern,Disney Encanto song
Miguel,Who is like God?,Hebrew,boy,es,es,Latin,classic,Cervantes author
Antonio,Praiseworthy,Latin,boy,es,es,Latin,classic,Banderas actor
Gonzalo,Safe from harm,Germanic,boy,es,es,Latin,classic,Medieval noble name
Liam,Strong-willed warrior,Irish,boy,es,es,Latin,modern,Global #1 influence
Gael,Stranger / Gael,Gaelic,boy,es,es,Latin,modern,Celtic origin popular
Marc,Warrior of Mars,Latin,boy,es,es,Latin,classic,Catalan form popular
Carlos,Free man,Germanic,boy,es,es,Latin,classic,King's name
Juan,God is gracious,Hebrew,boy,es,es,Latin,classic,Don Juan legend
Iker,Visitation,Basque,boy,es,es,Latin,modern,Casillas (Goalkeeper)
José,He will add,Hebrew,boy,es,es,Latin,classic,Most traditional
Sergio,Servant / Guardian,Latin,boy,es,es,Latin,classic,Ramos (Footballer)
Gabriel,God is my strength,Hebrew,boy,es,es,Latin,classic,Archangel name
Jorge,Farmer,Greek,boy,es,es,Latin,classic,St. George
Samuel,Told by God,Hebrew,boy,es,es,Latin,classic,Biblical prophet
Darío,Possessing goodness,Persian,boy,es,es,Latin,classic,King Darius
Héctor,Holding fast,Greek,boy,es,es,Latin,classic,Trojan hero
Rodrigo,Famous ruler,Germanic,boy,es,es,Latin,classic,El Cid hero
Rubén,Behold a son,Hebrew,boy,es,es,Latin,classic,Biblical firstborn
Francisco,Frenchman / Free,Latin,boy,es,es,Latin,classic,Goya / Pope Francis
Nicolás,Victory of the people,Greek,boy,es,es,Latin,classic,Saint Nicholas
Iván,God is gracious,Slavic,boy,es,es,Latin,classic,Russian form of John
Jesús,God saves,Hebrew,boy,es,es,Latin,classic,Religious traditional
Ángel,Messenger,Greek,boy,es,es,Latin,classic,Religious name
Aarón,Mountain of strength,Hebrew,boy,es,es,Latin,modern,Biblical priest
Víctor,Conqueror,Latin,boy,es,es,Latin,classic,Enduring classic
Pedro,Rock / Stone,Greek,boy,es,es,Latin,classic,Almodóvar director
Pau,Small / Humble,Latin,boy,es,es,Latin,modern,Catalan form of Paul
Lucía,Light,Latin,girl,es,es,Latin,classic,Consistently #1 girl name
Sofía,Wisdom,Greek,girl,es,es,Latin,classic,Royal name in Spain
Martina,Warrior of Mars,Latin,girl,es,es,Latin,modern,Feminine of Martin
María,Bitter / Beloved,Hebrew,girl,es,es,Latin,classic,Most traditional name
Julia,Youthful,Latin,girl,es,es,Latin,classic,Roman roots
Paula,Small,Latin,girl,es,es,Latin,classic,Evergreen popularity
Valeria,To be strong,Latin,girl,es,es,Latin,classic,Roman origin
Emma,Whole / Universal,Germanic,girl,es,es,Latin,modern,Top European name
Daniela,God is my judge,Hebrew,girl,es,es,Latin,modern,Feminine of Daniel
Carla,Free man,Germanic,girl,es,es,Latin,modern,Feminine of Carlos
Alma,Soul / Nourishing,Latin,girl,es,es,Latin,modern,Spiritual meaning
Olivia,Olive tree,Latin,girl,es,es,Latin,modern,International trend
Sara,Princess,Hebrew,girl,es,es,Latin,classic,Biblical matriarch
Carmen,Song / Garden,Latin,girl,es,es,Latin,classic,Opera / Virgin Mary
Vega,Meadow,Spanish,girl,es,es,Latin,modern,Virgin of the Vega
Mia,Mine / Bitter,Latin,girl,es,es,Latin,modern,Short and sweet
Lara,Citadel,Greek,girl,es,es,Latin,modern,Roman mythology
Alba,Dawn / White,Latin,girl,es,es,Latin,modern,Sunny meaning
Noa,Motion,Hebrew,girl,es,es,Latin,modern,Biblical (female)
Lola,Sorrows,Spanish,girl,es,es,Latin,modern,Short for Dolores
Valentina,Strong / Healthy,Latin,girl,es,es,Latin,modern,Strong feminine
Chloe,Blooming,Greek,girl,es,es,Latin,modern,Nature inspired
Claudia,Lame / Enclosure,Latin,girl,es,es,Latin,classic,Roman empress name
Jimena,He has heard,Hebrew,girl,es,es,Latin,classic,El Cid's wife
Aitana,Glory,Basque,girl,es,es,Latin,modern,Mountain range name
Vera,Faith / Truth,Russian,girl,es,es,Latin,modern,Vintage revival
Abril,April / To open,Latin,girl,es,es,Latin,modern,Month name
Adriana,Woman from Adria,Latin,girl,es,es,Latin,classic,Emperor Hadrian
Ana,Grace,Hebrew,girl,es,es,Latin,classic,Timeless favorite
Elena,Bright one,Greek,girl,es,es,Latin,classic,Infanta Elena
Candela,Candle / Light,Latin,girl,es,es,Latin,modern,Virgin of Candelaria
Triana,Three rivers,Latin,girl,es,es,Latin,modern,Neighborhood in Seville
Manuela,God is with us,Hebrew,girl,es,es,Latin,classic,Feminine of Manuel
Alejandra,Defender of men,Greek,girl,es,es,Latin,classic,Feminine of Alejandro
Inés,Pure,Greek,girl,es,es,Latin,classic,Spanish form of Agnes
Rocío,Dew,Spanish,girl,es,es,Latin,classic,Virgin of El Rocío
Blanca,White,Germanic,girl,es,es,Latin,classic,Royal name
Marina,Of the sea,Latin,girl,es,es,Latin,classic,Nautical meaning
Irene,Peace,Greek,girl,es,es,Latin,classic,Greek goddess
Marta,Lady / Mistress,Aramaic,girl,es,es,Latin,classic,Biblical figure
Celia,Heavenly,Latin,girl,es,es,Latin,classic,Shakespeare character
Aroa,Time / Era,Basque,girl,es,es,Latin,modern,Basque favorite
Elsa,God is my oath,Hebrew,girl,es,es,Latin,modern,Frozen movie boost
Leire,Legionary,Basque,girl,es,es,Latin,modern,Monastery of Leyre
Laia,Sweet speaking,Greek,girl,es,es,Latin,modern,Catalan Eulalia short
Victoria,Victory,Latin,girl,es,es,Latin,classic,Royal name
Gala,Calm / Festivity,Greek,girl,es,es,Latin,modern,Dalí's muse
Carlota,Free man,French,girl,es,es,Latin,classic,Spanish Charlotte
Clara,Bright / Clear,Latin,girl,es,es,Latin,classic,Clear meaning
Alicia,Noble type,Germanic,girl,es,es,Latin,classic,Alice in Wonderland,
Noah,Rest and comfort,Hebrew,boy,nl,nl,Latin,modern,Top name in NL
Lucas,Man from Lucania,Latin,boy,nl,nl,Latin,modern,Consistent favorite
Sem,Name / Renown,Hebrew,boy,nl,nl,Latin,modern,Short form of Shem
Daan,God is my judge,Hebrew,boy,nl,nl,Latin,classic,Dutch short for Daniel
Levi,Joined / Attached,Hebrew,boy,nl,nl,Latin,modern,Biblical tribe
Liam,Strong-willed warrior,Irish,boy,nl,nl,Latin,modern,International trend
James,Supplanter,Hebrew,boy,nl,nl,Latin,classic,English influence
Finn,Fair / White,Irish,boy,nl,nl,Latin,modern,Nordic trend
Luca,Man from Lucania,Latin,boy,nl,nl,Latin,modern,Italian spelling
Milan,Gracious / Dear,Slavic,boy,nl,nl,Latin,modern,City name popular
Mees,Son of the earth,Dutch,boy,nl,nl,Latin,modern,Short for Bartholomeus
Luuk,Light,Latin,boy,nl,nl,Latin,modern,Dutch form of Luke
Adam,Man / Earth,Hebrew,boy,nl,nl,Latin,classic,First man
Mason,Stone worker,English,boy,nl,nl,Latin,modern,English trend import
Sam,God has heard,Hebrew,boy,nl,nl,Latin,modern,Unisex short form
Bram,Father of many,Hebrew,boy,nl,nl,Latin,classic,Short for Abraham
Noud,Eagle ruler,Germanic,boy,nl,nl,Latin,modern,Short for Arnoud
Mats,Gift of God,Hebrew,boy,nl,nl,Latin,modern,Scandi form of Matthew
Thomas,Twin,Aramaic,boy,nl,nl,Latin,classic,Biblical apostle
Jesse,Gift,Hebrew,boy,nl,nl,Latin,classic,Biblical king father
Guus,Staff of the Goths,Germanic,boy,nl,nl,Latin,classic,Short for Augustus/Gustav
Gijs,Bright pledge,Germanic,boy,nl,nl,Latin,classic,Typical Dutch (Gisbert)
Thijs,Gift of God,Hebrew,boy,nl,nl,Latin,classic,Short for Matthijs
Teun,Praiseworthy,Latin,boy,nl,nl,Latin,classic,Short for Antonius
